holiday_category,actual_sum,fixed_abs_error_sum,agent_abs_error_sum,fixed_wmape,agent_wmape,improve_pct
Regular,85431773.76171875,4197332.108520508,4140778.240661621,0.04913080840657082,0.0484688314234331,1.3473765333956627
Weekend,32438874.15625,1618000.4794921875,1574605.8610839844,0.049878441270763005,0.04854070623719858,2.681990454157506
Adjacent Holiday,9438391.46875,514180.6259765625,528434.298828125,0.0544775693696311,0.05598774966875894,-2.7721139481852526
Holiday,7744243.4140625,544024.1047363281,475642.2385253906,0.07024883847897315,0.061418813058185716,12.569639031726382
