model,wmape,mae,rmse,smape,improve_vs_fixed_pct
LagBoostingBaseline,0.060235150158405304,251.07884216308594,405.9871826171875,0.0727650448679924,-18.351790335019174
BaseExpert only,0.06355355679988861,264.9109802246094,390.34869384765625,0.08454415202140808,-24.871893066503176
Base + Weather,0.05105400085449219,212.8089599609375,309.7333984375,0.06831768155097961,-0.31239880708744183
Base + Weather + Event (fixed weights),0.05089500546455383,212.14622497558594,309.0691223144531,0.06762900203466415,0.0
Agent routed,0.049754150211811066,207.39077758789062,300.519775390625,0.06655558943748474,2.241585873366933
